dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,ece,brier
train,0.8736628305548935,0.9459996900169647,0.9597377143082629,0.9846153846153847,0.8258064516129032,0.8982456140350877,0.944475602916433,0.9859484777517564,0.9647665425379547,0.905937992643195,0.9723632261703328,0.9379760609357998,0.9770114942528736,0.6159420289855072,0.7555555555555555,1.0,0.9682539682539683,0.9838709677419355,0.32794888632456715,0.26828937675382053
val,0.34176544940836573,0.5244471617831588,0.5600156323567781,1.0,0.02564102564102564,0.05,0.5931558935361216,0.7323943661971831,0.6554621848739496,0.615686274509804,0.7104072398190046,0.6596638655462185,0.46153846153846156,0.11538461538461539,0.18461538461538463,1.0,0.125,0.2222222222222222,0.022913544575133483,0.5504078083057519
test,0.3086442036269877,0.4640544442153022,0.49551404142858124,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.5641025641025641,0.719626168224299,0.6324435318275154,0.5805084745762712,0.6171171171171171,0.5982532751091703,0.42105263157894735,0.15384615384615385,0.22535211267605634,0.0,0.0,0.0,0.03342717595474803,0.5737955383582224
