dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,ece,brier
val,0.29696853822785885,0.4709449107740111,0.5136327526708878,1.0,0.02564102564102564,0.05,0.5863453815261044,0.6854460093896714,0.6320346320346321,0.5724907063197026,0.6968325791855203,0.6285714285714286,0.2857142857142857,0.07692307692307693,0.12121212121212122,0.0,0.0,0.0,0.04816329838582679,0.5739365608102931
test,0.32292317100482376,0.4666160209335697,0.49967286583050585,0.6,0.07894736842105263,0.13953488372093023,0.5975609756097561,0.6869158878504673,0.6391304347826087,0.5617977528089888,0.6756756756756757,0.6134969325153374,0.5625,0.17307692307692307,0.2647058823529412,0.0,0.0,0.0,0.03679992996994433,0.5605865199383012
