dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,mae,loss,range_0_pct,range_1_pct,range_2_pct,range_3_pct,range_4_pct
val,0.41462993648163493,0.5218977659793689,0.5185764743393538,0.47058823529411764,0.20512820512820512,0.2857142857142857,0.5972850678733032,0.6197183098591549,0.6082949308755761,0.5634920634920635,0.6425339366515838,0.6004228329809725,0.3,0.23076923076923078,0.2608695652173913,1.0,0.375,0.5454545454545454,0.5450411982428961,0.2268898351219313,0.5572232604026794,0.4052532911300659,0.03752345219254494,0.0,0.0
test,0.3840921997709995,0.49695722050670854,0.5003775383928062,0.47058823529411764,0.21052631578947367,0.2909090909090909,0.6090909090909091,0.6261682242990654,0.6175115207373272,0.5506072874493927,0.6126126126126126,0.579957356076759,0.3673469387755102,0.34615384615384615,0.3564356435643564,1.0,0.125,0.2222222222222222,0.5389067224795452,0.22700306951776425,0.5561797618865967,0.40262171626091003,0.03745318204164505,0.00374531839042902,0.0
