dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,ece,brier
val,0.3436492256707667,0.48980798016201876,0.5017404021862653,0.25,0.07692307692307693,0.11764705882352941,0.56,0.5915492957746479,0.5753424657534246,0.5568181818181818,0.665158371040724,0.6061855670103092,0.23333333333333334,0.1346153846153846,0.17073170731707318,1.0,0.25,0.4,0.030030269538961155,0.5892032047922062
test,0.3572912927684202,0.46874230164294794,0.47297594974430507,0.30434782608695654,0.18421052631578946,0.22950819672131148,0.5613207547169812,0.5560747663551402,0.5586854460093896,0.5437956204379562,0.6711711711711712,0.6008064516129032,0.5652173913043478,0.25,0.3466666666666667,0.5,0.125,0.2,0.03966986922489657,0.5932356236863784
