dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,mae,loss,range_0_pct,range_1_pct,range_2_pct
val,0.5158993511934689,0.45766021658086276,0.47285686693273093,0.7257383966244726,0.6825396825396826,0.7034764826175869,0.5568181818181818,0.665158371040724,0.6061855670103092,0.375,0.2,0.2608695652173913,0.5422072400518922,0.22220083741264987,0.6210131332082551,0.35834896810506567,0.020637898686679174
test,0.5295438295438295,0.4631685705135049,0.45252369398143305,0.6978723404255319,0.6507936507936508,0.6735112936344969,0.5437956204379562,0.6711711711711712,0.6008064516129032,0.64,0.26666666666666666,0.3764705882352941,0.5529407805271362,0.23399805631976894,0.6161048689138576,0.3707865168539326,0.013108614232209739
