dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,range_0_pct,range_1_pct,range_2_pct,range_3_pct,range_4_pct
val,0.21386782231852655,0.11405191152026595,0.18798690913194008,0.0,0.0,0.0,0.4229934924078091,0.9154929577464789,0.5786350148367952,0.4722222222222222,0.15384615384615385,0.23208191126279865,0.0,0.0,0.0,0.0,0.0,0.0,0.42964352720450283,0.4803001876172608,0.0825515947467167,0.0075046904315197,0.0
test,0.21747916140439508,0.08951406649616378,0.15986663405028712,0.0,0.0,0.0,0.43231441048034935,0.9252336448598131,0.5892857142857143,0.47368421052631576,0.16216216216216217,0.24161073825503357,0.0,0.0,0.0,0.0,0.0,0.0,0.43820224719101125,0.4681647940074906,0.08239700374531835,0.011235955056179775,0.0
