dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,range_0_pct,range_1_pct,range_2_pct
val,0.3581603581603581,0.10858565440347268,0.18540821217255007,0.5032537960954447,0.9206349206349206,0.6507713884992987,0.4722222222222222,0.15384615384615385,0.23208191126279865,0.0,0.0,0.0,0.49906191369606,0.42213883677298314,0.07879924953095685
test,0.3582868582868583,0.10586975368453266,0.17721971858500282,0.5021834061135371,0.9126984126984127,0.647887323943662,0.47368421052631576,0.16216216216216217,0.24161073825503357,0.0,0.0,0.0,0.49812734082397003,0.4232209737827715,0.07865168539325842
