dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,ece,brier
val,0.3558823529411764,0.4585953371384347,0.4739197528987479,0.5,0.02564102564102564,0.04878048780487805,0.5657370517928287,0.6666666666666666,0.6120689655172413,0.5807692307692308,0.6832579185520362,0.6278586278586279,0.4444444444444444,0.15384615384615385,0.22857142857142856,1.0,0.25,0.4,0.02973974377981667,0.5562063981365125
test,0.33766628352216155,0.44768364843411745,0.4827341344732038,0.25,0.02631578947368421,0.047619047619047616,0.5783582089552238,0.7242990654205608,0.6431535269709544,0.5867768595041323,0.6396396396396397,0.6120689655172413,0.47368421052631576,0.17307692307692307,0.2535211267605634,1.0,0.125,0.2222222222222222,0.007854825982031174,0.5637693924850026
