dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,mae,loss,range_0_pct,range_1_pct,range_2_pct
val,0.4191074720486485,0.17807370256676325,0.16672042249214442,0.5413223140495868,0.5198412698412699,0.5303643724696356,0.4449760765550239,0.42081447963800905,0.4325581395348837,0.23170731707317074,0.31666666666666665,0.2676056338028169,0.79458363541519,0.4256506184252297,0.45590994371482174,0.45778611632270166,0.08630393996247655
test,0.442034892034892,0.24920200638394896,0.229994315147914,0.5634920634920635,0.5634920634920635,0.5634920634920635,0.4541284403669725,0.44594594594594594,0.45,0.296875,0.31666666666666665,0.3064516129032258,0.7553893787584055,0.3901207818743888,0.4868913857677903,0.45318352059925093,0.0599250936329588
