dataset,balanced_accuracy,qwk,spearman_r,precision_c1,recall_c1,f1_c1,precision_c2,recall_c2,f1_c2,precision_c3,recall_c3,f1_c3,precision_c4,recall_c4,f1_c4,precision_c5,recall_c5,f1_c5,range_0_pct,range_1_pct,range_2_pct,range_3_pct,range_4_pct
val,0.26655354449472096,0.08211847583505616,0.10003299649177048,0.125,0.2564102564102564,0.16806722689075632,0.0,0.0,0.0,0.5142857142857142,0.16289592760180996,0.24742268041237114,0.10904255319148937,0.7884615384615384,0.19158878504672897,0.14285714285714285,0.125,0.13333333333333333,0.1651031894934334,0.44090056285178236,0.32833020637898686,0.06378986866791744,0.001876172607879925
test,0.233373454426086,0.12049211586609399,0.14821052241442392,0.0898876404494382,0.21052631578947367,0.12598425196850394,0.0,0.0,0.0,0.4074074074074074,0.14864864864864866,0.21782178217821782,0.11797752808988764,0.8076923076923077,0.20588235294117646,0.0,0.0,0.0,0.15543071161048688,0.4756554307116105,0.31273408239700373,0.056179775280898875,0.0
